type, no_of_threads, member_operations, insert_operations, delete_operations, time_interval
type, no_of_threads, member_operations, insert_operations, delete_operations, time_interval
RWLOCK, 8, 9000, 500, 500, 19851
RWLOCK, 8, 9000, 500, 500, 18329
RWLOCK, 8, 9000, 500, 500, 17194
RWLOCK, 8, 9000, 500, 500, 42165
RWLOCK, 8, 9000, 500, 500, 34806
RWLOCK, 8, 9000, 500, 500, 29610
RWLOCK, 8, 9000, 500, 500, 22619
RWLOCK, 8, 9000, 500, 500, 20283
RWLOCK, 8, 9000, 500, 500, 31790
RWLOCK, 8, 9000, 500, 500, 19847
RWLOCK, 8, 9000, 500, 500, 19095
RWLOCK, 8, 9000, 500, 500, 19011
RWLOCK, 8, 9000, 500, 500, 18811
RWLOCK, 8, 9000, 500, 500, 37469
RWLOCK, 8, 9000, 500, 500, 29703
RWLOCK, 8, 9000, 500, 500, 31190
RWLOCK, 8, 9000, 500, 500, 30669
RWLOCK, 8, 9000, 500, 500, 28603
RWLOCK, 8, 9000, 500, 500, 27412
RWLOCK, 8, 9000, 500, 500, 26195
RWLOCK, 8, 9000, 500, 500, 30320
RWLOCK, 8, 9000, 500, 500, 28524
RWLOCK, 8, 9000, 500, 500, 34400
RWLOCK, 8, 9000, 500, 500, 31609
RWLOCK, 8, 9000, 500, 500, 23134
RWLOCK, 8, 9000, 500, 500, 21469
RWLOCK, 8, 9000, 500, 500, 21810
RWLOCK, 8, 9000, 500, 500, 20130
RWLOCK, 8, 9000, 500, 500, 22521
RWLOCK, 8, 9000, 500, 500, 22472
RWLOCK, 8, 9000, 500, 500, 22587
RWLOCK, 8, 9000, 500, 500, 22376
RWLOCK, 8, 9000, 500, 500, 18612
RWLOCK, 8, 9000, 500, 500, 20193
RWLOCK, 8, 9000, 500, 500, 22585
RWLOCK, 8, 9000, 500, 500, 36086
RWLOCK, 8, 9000, 500, 500, 34181
RWLOCK, 8, 9000, 500, 500, 40741
RWLOCK, 8, 9000, 500, 500, 24823
RWLOCK, 8, 9000, 500, 500, 22400
RWLOCK, 8, 9000, 500, 500, 21193
RWLOCK, 8, 9000, 500, 500, 21367
RWLOCK, 8, 9000, 500, 500, 32000
RWLOCK, 8, 9000, 500, 500, 20965
RWLOCK, 8, 9000, 500, 500, 20001
RWLOCK, 8, 9000, 500, 500, 20100
RWLOCK, 8, 9000, 500, 500, 19789
RWLOCK, 8, 9000, 500, 500, 19082
RWLOCK, 8, 9000, 500, 500, 18375
RWLOCK, 8, 9000, 500, 500, 20181
RWLOCK, 8, 9000, 500, 500, 19805
RWLOCK, 8, 9000, 500, 500, 17992
RWLOCK, 8, 9000, 500, 500, 17515
